Title,Year,Genre,Rating,Votes,Revenue,Director
The Shawshank Redemption,1994,Drama,9.3,2900000,28.3,Frank Darabont
The Godfather,1972,Crime,9.2,2000000,134.9,Francis Ford Coppola
The Dark Knight,2008,Action,9.0,2950000,534.9,Christopher Nolan
The Godfather Part II,1974,Crime,9.0,1400000,57.3,Francis Ford Coppola
12 Angry Men,1957,Drama,9.0,870000,4.4,Sidney Lumet
Schindler's List,1993,Drama,9.0,1500000,96.1,Steven Spielberg
The Lord of the Rings,2003,Fantasy,8.9,2000000,377.8,Peter Jackson
Pulp Fiction,1994,Crime,8.9,2200000,107.9,Quentin Tarantino
Inception,2010,Sci-Fi,8.8,2600000,839.0,Christopher Nolan
Fight Club,1999,Drama,8.8,2400000,37.0,David Fincher
Forrest Gump,1994,Drama,8.8,2300000,330.3,Robert Zemeckis
The Matrix,1999,Sci-Fi,8.7,2100000,171.5,Lana Wachowski
Goodfellas,1990,Crime,8.7,1300000,46.8,Martin Scorsese
Interstellar,2014,Sci-Fi,8.7,2200000,731.0,Christopher Nolan
City of God,2002,Crime,8.6,800000,7.6,Fernando Meirelles
The Green Mile,1999,Drama,8.6,1400000,136.8,Frank Darabont
Parasite,2019,Thriller,8.5,1000000,258.7,Bong Joon Ho
Gladiator,2000,Action,8.5,1700000,465.4,Ridley Scott
The Lion King,1994,Animation,8.5,1200000,968.5,Roger Allers
Avengers Endgame,2019,Action,8.4,1300000,2797.8,Anthony Russo
Joker,2019,Drama,8.4,1500000,1074.5,Todd Phillips
Toy Story,1995,Animation,8.3,1100000,373.6,John Lasseter
Coco,2017,Animation,8.4,600000,807.8,Lee Unkrich
Titanic,1997,Romance,7.9,1300000,2200.0,James Cameron
Avatar,2009,Sci-Fi,7.8,1400000,2923.7,James Cameron
Top Gun Maverick,2022,Action,8.2,750000,1495.7,Joseph Kosinski
Oppenheimer,2023,Drama,8.6,850000,975.6,Christopher Nolan
Dune Part Two,2024,Sci-Fi,8.6,500000,711.8,Denis Villeneuve
The Batman,2022,Action,7.8,800000,772.2,Matt Reeves
Everything Everywhere All at Once,2022,Sci-Fi,7.8,650000,143.4,Daniel Kwan


























































